lat,lon
-25.875, -53.375
-25.875, -53.125
-25.875, -52.875
-25.875, -52.625
-25.875, -52.375
-25.875, -52.125
-25.875, -51.875
-25.875, -51.625
-25.875, -51.375
-25.875, -51.125
-25.875, -50.875
-25.875, -50.625
-25.875, -50.375
-25.875, -50.125
-25.875, -49.875
-25.875, -49.625
-25.875, -49.375
-25.875, -49.125
-25.875, -48.875
-25.875, -48.625
-25.625, -54.125
-25.625, -53.875
-25.625, -53.625
-25.625, -53.375
-25.625, -53.125
-25.625, -52.875
-25.625, -52.625
-25.625, -52.375
-25.625, -52.125
-25.625, -51.875
-25.625, -51.625
-25.625, -51.375
-25.625, -51.125
-25.625, -50.875
-25.625, -50.625
-25.625, -50.375
-25.625, -50.125
-25.625, -49.875
-25.625, -49.625
-25.625, -49.375
-25.625, -49.125
-25.625, -48.875
-25.625, -48.625
-25.375, -54.375
-25.375, -54.125
-25.375, -53.875
-25.375, -53.625
-25.375, -53.375
-25.375, -53.125
-25.375, -52.875
-25.375, -52.625
-25.375, -52.375
-25.375, -52.125
-25.375, -51.875
-25.375, -51.625
-25.375, -51.375
-25.375, -51.125
-25.375, -50.875
-25.375, -50.625
-25.375, -50.375
-25.375, -50.125
-25.375, -49.875
-25.375, -49.625
-25.375, -49.375
-25.375, -49.125
-25.375, -48.875
-25.375, -48.625
-25.375, -48.375
-25.125, -54.375
-25.125, -54.125
-25.125, -53.875
-25.125, -53.625
-25.125, -53.375
-25.125, -53.125
-25.125, -52.875
-25.125, -52.625
-25.125, -52.375
-25.125, -52.125
-25.125, -51.875
-25.125, -51.625
-25.125, -51.375
-25.125, -51.125
-25.125, -50.875
-25.125, -50.625
-25.125, -50.375
-25.125, -50.125
-25.125, -49.875
-25.125, -49.625
-25.125, -49.375
-25.125, -49.125
-25.125, -48.875
-25.125, -48.625
-25.125, -48.375
-25.125, -48.125
-24.875, -54.375
-24.875, -54.125
-24.875, -53.875
-24.875, -53.625
-24.875, -53.375
-24.875, -53.125
-24.875, -52.875
-24.875, -52.625
-24.875, -52.375
-24.875, -52.125
-24.875, -51.875
-24.875, -51.625
-24.875, -51.375
-24.875, -51.125
-24.875, -50.875
-24.875, -50.625
-24.875, -50.375
-24.875, -50.125
-24.875, -49.875
-24.875, -49.625
-24.875, -49.375
-24.875, -49.125
-24.875, -48.875
-24.875, -48.625
-24.875, -48.375
-24.875, -48.125
-24.875, -47.875
-24.625, -54.375
-24.625, -54.125
-24.625, -53.875
-24.625, -53.625
-24.625, -53.375
-24.625, -53.125
-24.625, -52.875
-24.625, -52.625
-24.625, -52.375
-24.625, -52.125
-24.625, -51.875
-24.625, -51.625
-24.625, -51.375
-24.625, -51.125
-24.625, -50.875
-24.625, -50.625
-24.625, -50.375
-24.625, -50.125
-24.625, -49.875
-24.625, -49.625
-24.625, -49.375
-24.625, -49.125
-24.625, -48.875
-24.625, -48.625
-24.625, -48.375
-24.625, -48.125
-24.625, -47.875
-24.625, -47.625
-24.625, -47.375
-24.375, -54.125
-24.375, -53.875
-24.375, -53.625
-24.375, -53.375
-24.375, -53.125
-24.375, -52.875
-24.375, -52.625
-24.375, -52.375
-24.375, -52.125
-24.375, -51.875
-24.375, -51.625
-24.375, -51.375
-24.375, -51.125
-24.375, -50.875
-24.375, -50.625
-24.375, -50.375
-24.375, -50.125
-24.375, -49.875
-24.375, -49.625
-24.375, -49.375
-24.375, -49.125
-24.375, -48.875
-24.375, -48.625
-24.375, -48.375
-24.375, -48.125
-24.375, -47.875
-24.375, -47.625
-24.375, -47.375
-24.375, -47.125
-24.125, -55.375
-24.125, -53.875
-24.125, -53.625
-24.125, -53.375
-24.125, -53.125
-24.125, -52.875
-24.125, -52.625
-24.125, -52.375
-24.125, -52.125
-24.125, -51.875
-24.125, -51.625
-24.125, -51.375
-24.125, -51.125
-24.125, -50.875
-24.125, -50.625
-24.125, -50.375
-24.125, -50.125
-24.125, -49.875
-24.125, -49.625
-24.125, -49.375
-24.125, -49.125
-24.125, -48.875
-24.125, -48.625
-24.125, -48.375
-24.125, -48.125
-24.125, -47.875
-24.125, -47.625
-24.125, -47.375
-24.125, -47.125
-24.125, -46.875
-23.875, -55.625
-23.875, -55.375
-23.875, -54.625
-23.875, -54.375
-23.875, -54.125
-23.875, -53.875
-23.875, -53.625
-23.875, -53.375
-23.875, -53.125
-23.875, -52.875
-23.875, -52.625
-23.875, -52.375
-23.875, -52.125
-23.875, -51.875
-23.875, -51.625
-23.875, -51.375
-23.875, -51.125
-23.875, -50.875
-23.875, -50.625
-23.875, -50.375
-23.875, -50.125
-23.875, -49.875
-23.875, -49.625
-23.875, -49.375
-23.875, -49.125
-23.875, -48.875
-23.875, -48.625
-23.875, -48.375
-23.875, -48.125
-23.875, -47.875
-23.875, -47.625
-23.875, -47.375
-23.875, -47.125
-23.875, -46.875
-23.875, -46.625
-23.875, -46.375
-23.875, -46.125
-23.875, -45.375
-23.625, -55.625
-23.625, -55.375
-23.625, -55.125
-23.625, -54.875
-23.625, -54.625
-23.625, -54.375
-23.625, -54.125
-23.625, -53.875
-23.625, -53.625
-23.625, -53.375
-23.625, -53.125
-23.625, -52.875
-23.625, -52.625
-23.625, -52.375
-23.625, -52.125
-23.625, -51.875
-23.625, -51.625
-23.625, -51.375
-23.625, -51.125
-23.625, -50.875
-23.625, -50.625
-23.625, -50.375
-23.625, -50.125
