state,year,lat,lon,gws_inst,rtzsm_inst,sfsm_inst
 AP, 2008,0.5807291666666666,-51.6640625,73.68656749919872,68.62209402668269,65.22481043279247
 AP, 2009,0.5807291666666666,-51.6640625,50.00773068730168,51.0919568716887,48.99528531519031
 AP, 2010,0.5807291666666666,-51.6640625,56.295859092307694,54.0920440798157,51.95134768825321
 AP, 2011,0.5807291666666666,-51.6640625,50.986845046975155,49.969427470610974,44.30850612539463
 AP, 2012,0.5807291666666666,-51.6640625,16.689087125851024,18.798231854925316,18.800021550945363
 AP, 2013,0.5807291666666666,-51.6640625,28.666345638173077,29.105138226197916,29.8929178098778
 AP, 2014,0.5807291666666666,-51.6640625,32.27102804377604,29.346705483577725,26.142543024447114
 AP, 2015,0.5807291666666666,-51.6640625,16.886621092235576,17.038288125707133,17.41613479767027
 AP, 2016,0.5807291666666666,-51.6640625,8.527750411868992,12.266634844977965,12.940602346895032
 AP, 2017,0.5807291666666666,-51.6640625,30.555678689210737,34.778746897600165,30.614134043283254
 AP, 2018,0.5807291666666666,-51.6640625,38.82779095217374,41.35844654389544,39.98998938183962
 AP, 2019,0.5807291666666666,-51.6640625,45.06615914511218,44.70065511767228,40.41883793167869
 AP, 2020,0.5807291666666666,-51.6640625,35.60261841067508,36.722999916448316,36.227259553329326
 AP, 2021,0.5807291666666666,-51.6640625,63.83562100961539,63.36087902329727,59.17911569252804
 AP, 2022,0.5807291666666666,-51.6640625,63.714576717988784,62.307987569070505,57.96646621652644
 AP, 2023,0.5807291666666666,-51.6640625,59.252299266685604,58.75731900607954,51.57148407952178
 BA, 2003,-12.455774365821094,-41.72346461949266,9.836825323773365,23.083612746398256,25.65643095278399
 BA, 2004,-12.455774365821094,-41.72346461949266,55.04460776468394,49.0602906922109,48.04611191398788
 BA, 2005,-12.455774365821094,-41.72346461949266,62.993780095920194,59.994830136307385,60.13671558528782
 BA, 2006,-12.455774365821094,-41.72346461949266,60.4527125172815,54.936494954269286,54.20342184403101
 BA, 2007,-12.455774365821094,-41.72346461949266,41.4577272579477,34.96002316521274,35.693074044805144
 BA, 2008,-12.455774365821094,-41.72346461949266,42.14307845662319,46.0777102268345,46.40271416055741
 BA, 2009,-12.455774365821094,-41.72346461949266,56.90469398913424,58.33516816702733,58.43495076852469
 BA, 2010,-12.455774365821094,-41.72346461949266,31.888228963353445,40.108905594313185,40.50147960480204
 BA, 2011,-12.455774365821094,-41.72346461949266,33.93487212622522,39.19220851578181,39.998829916605985
 BA, 2012,-12.455774365821094,-41.72346461949266,10.815128716244553,17.70166653537824,17.89393198009245
 BA, 2013,-12.455774365821094,-41.72346461949266,10.015803846896633,27.734794898796856,28.31647449747253
 BA, 2014,-12.455774365821094,-41.72346461949266,18.18204740851186,27.814021841864538,30.084379968903665
 BA, 2015,-12.455774365821094,-41.72346461949266,5.513905459816678,18.626418630757165,19.820112065299888
 BA, 2016,-12.455774365821094,-41.72346461949266,11.973486336481205,23.305213696043186,24.49059475542133
 BA, 2017,-12.455774365821094,-41.72346461949266,2.4595164666889184,16.687182557010885,17.64234878494711
 BA, 2018,-12.455774365821094,-41.72346461949266,6.445229630619694,22.275220000907375,24.891094648606444
 BA, 2019,-12.455774365821094,-41.72346461949266,2.3955287696872754,16.555142660394626,18.858078689640546
 BA, 2020,-12.455774365821094,-41.72346461949266,25.537512748473606,46.398950610969756,48.37226339773519
 BA, 2021,-12.455774365821094,-41.72346461949266,9.286899237473811,25.370127039054125,26.27361319108632
 BA, 2022,-12.455774365821094,-41.72346461949266,44.30230038205428,44.80859759640957,44.58932031756162
 BA, 2023,-12.455774365821094,-41.72346461949266,59.05524070455759,46.12685883959643,48.22612952027552
 CE, 2003,-5.0793147208121825,-39.628807106598984,45.853156407144674,49.135235828777496,46.25401698353532
 CE, 2004,-5.0793147208121825,-39.628807106598984,54.90868539853573,46.45452535474814,42.87030859898282
 CE, 2005,-5.0793147208121825,-39.628807106598984,26.152019692219834,29.261173339850643,24.126165185379737
 CE, 2006,-5.0793147208121825,-39.628807106598984,35.407783701141156,40.98104300639594,39.90036803253612
 CE, 2007,-5.0793147208121825,-39.628807106598984,27.49675319751652,38.03031303108898,34.172328621791976
 CE, 2008,-5.0793147208121825,-39.628807106598984,63.07663776937719,64.476115770246,66.1571016954217
 CE, 2009,-5.0793147208121825,-39.628807106598984,91.00977494152674,85.63131639852597,85.89610732503904
 CE, 2010,-5.0793147208121825,-39.628807106598984,54.771906134019915,52.65319667898282,53.040729325492
 CE, 2011,-5.0793147208121825,-39.628807106598984,85.48944284703241,81.42156673356111,81.80034748416634
 CE, 2012,-5.0793147208121825,-39.628807106598984,31.92275442466239,32.19098219931232,26.04158279356671
 CE, 2013,-5.0793147208121825,-39.628807106598984,19.413234885747755,39.343487206631195,38.266280877601524
 CE, 2014,-5.0793147208121825,-39.628807106598984,19.350056300373875,37.78944191563062,35.21616558797442
 CE, 2015,-5.0793147208121825,-39.628807106598984,14.740362748800274,33.203845555203046,28.384414203247758
 CE, 2016,-5.0793147208121825,-39.628807106598984,16.051047102440453,33.05986721122022,27.231166337891448
 CE, 2017,-5.0793147208121825,-39.628807106598984,26.30780763512007,42.67090289761812,40.797863073411754
 CE, 2018,-5.0793147208121825,-39.628807106598984,34.05024265978738,51.03582441498899,50.459053374052296
 CE, 2019,-5.0793147208121825,-39.628807106598984,39.98633185064135,54.06703660439282,52.52796956192503
 CE, 2020,-5.0793147208121825,-39.628807106598984,51.972560024261035,60.178816436762986,58.860287651962125
 CE, 2021,-5.0793147208121825,-39.628807106598984,27.40007435559547,38.46964208098399,35.915291242856306
 CE, 2022,-5.0793147208121825,-39.628807106598984,53.44323887974619,63.224038596319794,64.9426604666146
 CE, 2023,-5.0793147208121825,-39.628807106598984,54.123759182994924,48.85245848987541,51.17879342950162
 DF, 2003,-15.732142857142858,-47.80357142857143,15.734651411339284,23.10603556386905,26.736610608035715
